OrderDate,ProductCategoryName,TotalRevenue,Average Profit Margin,OrderQty,UnitPrice,UnitPriceDiscount,TaxAmt,Freight,Average_Revenue_Per_User
2011-05-31,Accessories,1069.8845,447.9050610180111,72.0,464.2895,0.0,85.59076,26.747106000000002,82.29880769230769
2011-05-31,Bikes,413833.4929,-2915.0480497863537,413.0,195999.4738,0.0,33106.679432,10345.837305000001,10345.8373225
2011-05-31,Clothing,2071.1596,-906.1252462246787,148.0,715.0269,0.0,165.692768,51.778989,94.14361818181818
2011-05-31,Components,25185.8746,-1040.1676173661099,102.0,14250.0435,0.0,2014.869968,629.646863,1679.0583066666666
2011-05-31,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-01,Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-01,Bikes,13931.52,285.2166682296278,4.0,13931.52,0.0,1114.5216,348.288,3482.88
2011-06-01,Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-01,Components,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-01,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-02,Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-02,Bikes,15012.1782,302.8343209149733,5.0,15012.1782,0.0,1200.974256,375.30445499999996,3002.43564
2011-06-02,Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-02,Components,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-02,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-03,Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-03,Bikes,7156.54,129.5978960382246,2.0,7156.54,0.0,572.5232,178.9135,3578.27
2011-06-03,Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-03,Components,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-03,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-04,Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-04,Bikes,15012.1782,302.8343209149733,5.0,15012.1782,0.0,1200.974256,375.304455,3002.43564
2011-06-04,Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-04,Components,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-04,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-05,Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-05,Bikes,14313.08,259.1957920764492,4.0,14313.08,0.0,1145.0464,357.827,3578.27
2011-06-05,Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-05,Components,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-05,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-06,Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-06,Bikes,7855.638199999999,173.23642487674869,3.0,7855.638199999999,0.0,628.451056,196.390955,2618.5460666666663
2011-06-06,Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-06,Components,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-06-06,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
